| # | SKU | Name | Category | Price | Slug | Title Len | SEO Title | Desc Len | SEO Description | Moiss Scan |
|---|---|---|---|---|---|---|---|---|---|---|
| 1 | `A113` | Orecchini Duchesse | Orecchini | €102.00 | `orecchini-duchesse` | 57 | Duchesse — Orecchini in Rodio & Argento 925 | Isabel Pepe | 145 | Scopri gli orecchini Duchesse di Isabel Pepe: Argento 925 con finitura in Rodio 0.1µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 2 | `A114` | Orecchini Rêve | Orecchini | €102.00 | `orecchini-reve` | 53 | Rêve — Orecchini in Rodio & Argento 925 | Isabel Pepe | 143 | Scopri gli orecchini Rêve di Isabel Pepe: Argento 925 con finitura in Rodio 0.1µm e nano-coating. Cofanetto regalo di lusso e garanzia inclusi. | ✅ 0 |
| 3 | `A118` | Orecchini Opéra | Orecchini | €139.00 | `orecchini-opera` | 56 | Opéra — Orecchini in Oro 18K & Argento 925 | Isabel Pepe | 153 | Scopri gli orecchini a cerchio Opéra di Isabel Pepe: Argento 925 con placcatura Oro 18K 1.0µm e doppio scudo. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 4 | `A144` | Set Versailles | Set | €260.00 | `set-versailles` | 46 | Versailles — Set Parure in Rodio | Isabel Pepe | 150 | Scopri il Set Versailles di Isabel Pepe: parure in Argento 925 con finitura in Rodio 0.1µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 5 | `A180-SET` | Set Vivienne | Set | €279.00 | `set-vivienne` | 46 | Vivienne — Set Parure in Oro 18K | Isabel Pepe | 153 | Scopri il Set Vivienne di Isabel Pepe: parure a V in Argento 925 con placcatura Oro 18K 1.0µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 6 | `ASB0041` | Orecchini Pétale d'Argent | Orecchini | €122.00 | `orecchini-petale-d-argent` | 50 | Pétale d'Argent — Orecchini in Rodio | Isabel Pepe | 151 | Scopri Pétale d'Argent di Isabel Pepe: orecchini in Argento 925 con finitura in Rodio 0.1µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 7 | `ASB3035` | Orecchini Éternel | Orecchini | €112.00 | `orecchini-eternel` | 56 | Éternel — Orecchini in Rodio & Argento 925 | Isabel Pepe | 153 | Scopri gli orecchini Éternel di Isabel Pepe: cuori in Argento 925 con finitura in Rodio 0.1µm e doppio scudo. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 8 | `ASB3057` | Orecchini Butterfly | Orecchini | €117.00 | `orecchini-butterfly` | 54 | Butterfly — Orecchini in Rodio & Argento | Isabel Pepe | 151 | Scopri gli orecchini Butterfly di Isabel Pepe: Argento 925 con finitura in Rodio Puro 0.1µm e nano-coating. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 9 | `ASB3093` | Orecchini Joséphine | Orecchini | €94.00 | `orecchini-josephine` | 54 | Joséphine — Orecchini in Rodio & Argento | Isabel Pepe | 150 | Scopri gli orecchini Joséphine di Isabel Pepe: Argento 925 con finitura in Rodio 0.1µm e pietre rosa luce. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
| 10 | `ASB3141` | Orecchini Soirée | Orecchini | €149.00 | `orecchini-soiree` | 55 | Soirée — Orecchini in Rodio & Argento 925 | Isabel Pepe | 150 | Scopri gli orecchini Soirée di Isabel Pepe: cerchi in Argento 925 con finitura in Rodio Puro 0.1µm e pavé. Cofanetto regalo luxury e garanzia inclusi. | ✅ 0 |
